NOUN	WIKICONLL	ITWAC	REPUBBLICA
zio	0	1	0
routine	0	1	0
hacker	0	1	0
lavoratori	0	2	0
portineria	0	1	0
tradimento	0	1	0
monopoli	0	2	0
oblio	0	1	0
aspettativa	0	1	0
accensione	0	1	0
brigata	0	1	0
classi	0	1	0
piramide	0	1	0
affido	0	1	0
emersione	0	1	0
resa	0	1	0
redazione	0	1	0
anoressia	0	1	0
sequel	0	1	0
dosi	0	1	0
leggenda	0	1	0
professionalità	0	1	0
populista	0	1	0
trasloco	0	1	0
micro	0	1	0
fregatura	0	2	0
opacità	0	1	0
millennio	0	1	0
smorfia	0	1	0
istituzione	0	1	0
gesso	0	1	0
